Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
ASUNCION,0,4,0
FERNANDO DE LA MORA,3,0,1
PEDRO JUAN CABALLERO,5,1,1
YBY YAU,0,4,1
YPANE,5,1,1
CAPIATA,5,1,1
CAPITAN BADO,0,4,0
HORQUETA,0,4,1
BELEN,0,4,1
CECILIO BAEZ,0,0,1
CONCEPCION,3,0,1
LAMBARE,5,1,1
BELLA VISTA,2,2,1
HERNANDARIAS,0,4,1
ITAKYRY,0,4,0
ITAUGUA,3,0,1
CORONEL OVIEDO,0,4,2
LOMA PLATA,0,4,0
LUQUE,3,0,1
MCAL. ESTIGARRIBIA,0,4,0
MINGA GUAZU,0,4,0
PIRAYU,0,4,1
SAN ALBERTO,0,4,1
VILLA ELISA,4,5,1
YAGUARON,0,4,1
YPACARAI,1,3,1
CAACUPE,0,4,1
EMBOSCADA,0,4,3
ITA,3,0,1
LIMPIO,0,0,1
MARIANO ROQUE ALONSO,3,0,1
SAN LORENZO,3,0,1
VILLETA,0,0,1
GUARAMBARE,5,1,1
J A SALDIVAR,3,0,1
SAN JOSE DE LOS ARROYOS,0,4,4
CAAGUAZU,0,4,1
JUAN LEON MALLORQUIN,0,4,3
LORETO,0,0,1
NUEVA ITALIA,0,0,1
VILLA HAYES,3,0,1
ACAHAY,0,4,0
CARAPEGUA,0,4,2
CHORE,0,4,4
ENCARNACION,0,4,0
FRAM,0,4,0
JOSE DOMINGO OCAMPOS,0,4,4
JUAN E. OLEARY,0,4,0
PARAGUARI,0,0,1
REPATRIACION,0,4,2
SAN ANTONIO,3,0,1
SAN JUAN NEPOMUCENO,0,4,0
SANTA ROSA,0,4,0
LOMA GRANDE,0,0,1
SAN BERNARDINO,0,4,4
SAN ESTANISLAO,0,4,1
AREGUA,2,2,1
ARROYOS Y ESTEROS,0,4,0
EUSEBIO AYALA,0,4,4
ITACURUBI DE LA CORDILLERA,0,4,2
LA PALOMA,0,4,1
MINGA PORA,0,4,0
PILAR,0,4,0
SALTO DEL GUAIRA,0,4,1
SAN PEDRO,0,4,0
VILLARRICA,0,4,1
ALBERDI,0,4,2
CAMBYRETA,0,4,0
NATALIO,0,4,0
NUEVA ALBORADA,0,4,0
OBLIGADO,0,4,0
SAN JUAN BAUTISTA,0,4,4
SANTA RITA,0,4,0
TOBATI,0,4,4
MBOCAYATY,0,4,4
PIRAPO,0,4,0
SAPUCAI,0,4,0
TACUATI,0,4,0
CAAZAPA,0,4,0
CURUGUATY,0,4,1
PUERTO PINASCO,4,5,1
TEBICUARY,0,0,1
CORONEL MARTINEZ,0,4,0
SAN LAZARO,0,4,0
ATYRA,0,4,2
ALTOS,0,0,1
PIRIBEBUY,0,4,2
AYOLAS,0,4,0
BENJAMIN ACEVAL,0,4,1
QUIINDY,0,4,3
GENERAL MORINIGO,0,4,0
VALENZUELA,0,4,0
YGUAZU,0,4,4
NUEVA ESPERANZA,0,4,2
CAPITAN MIRANDA,0,4,0
FUERTE OLIMPO,0,4,0
MBARACAYU,0,4,0
NANAWA,3,0,1
NARANJAL,0,4,4
KATUETE,0,4,1
SAN PEDRO DEL PARANA,0,4,0
CARLOS ANTONIO LOPEZ,0,4,0
EDELIRA,0,4,0
HOHENAU,0,4,0
SAN IGNACIO,0,4,0
ABAI,0,4,0
CAPIIBARY,0,4,0
CARAGUATAY,0,4,3
CORPUS CHRISTI,0,4,0
RAUL ARSENIO OVIEDO,0,4,0
TOMAS ROMERO PEREIRA,0,4,0
TRINIDAD,0,4,4
YEGROS,0,4,0
CARAYAO,0,4,4
CORONEL BOGADO,0,4,0
DR. MOISES BERTONI,0,4,0
ESCOBAR,0,4,0
GENERAL FRANCISCO CABALLERO ALVAREZ,0,4,0
GUAYAIBI,0,4,4
JUAN EULOGIO ESTIGARRIBIA,0,4,0
MAURICIO JOSE TROCHE,0,4,0
NUEVA LONDRES,0,4,0
SANTA ELENA,0,4,2
COLONIA INDEPENDENCIA,0,4,0
LA PAZ,0,4,0
NUEVA COLOMBIA,0,4,1
SAN MIGUEL,0,4,0
SANTA ROSA DEL MONDAY,0,4,1
VAQUERIA,0,4,0
YATAITY,0,4,0
ITAPE,0,4,0
SANTA ROSA DEL AGUARAY,0,4,1
FELIX PEREZ CARDOZO,0,4,0
GENERAL ARTIGAS,0,4,0
JUAN MANUEL FRUTOS,0,4,0
LA PASTORA,0,4,0
SAN JUAN DEL PARANA,0,4,0
SIMON BOLIVAR,0,4,0
CAPITAN MEZA,0,4,0
SAN JOAQUIN,0,4,0
BORJA,0,4,0
ITACURUBI DEL ROSARIO,0,4,2
JESUS,0,4,0
ISLA PUCU,0,4,0
SANTA ROSA DEL MBUTUY,0,4,1
VILLA DEL ROSARIO,0,4,0
3 DE FEBRERO,0,4,0
YUTY,0,4,0
YHU,0,4,0
TAVAI,0,4,0
FILADELFIA,0,4,0
MBOCAYATY DEL YHAGUY,0,4,1
SAN CARLOS,0,4,-1
JOSE FASSARDI,0,4,0
JUAN DE MENA,0,4,2
NUEVA GERMANIA,0,4,2
UNION,0,4,0
CARMEN DEL PARANA,0,4,0
PASO YOBAI,0,4,0
TACUARAS,0,4,0
YATAITY DEL NORTE,0,4,2
25 DE DICIEMBRE,0,4,0
SANTA MARIA,0,4,0
SANTIAGO,0,4,0
MCAL. FRANCISCO SOLANO LOPEZ,0,4,0
SAN JOSE OBRERO,0,4,0
ITURBE,0,4,0
JOSE FALCON,0,4,0
NATALICIO TALAVERA,0,4,0
ANTEQUERA,3,0,1
ITANARA,0,4,0
SAN COSME Y DAMIAN,0,4,0
TEBICUARYMI,0,4,4
ITAPUA POTY,0,4,0
MACIEL,0,4,0
SAN PATRICIO,0,4,0
LAURELES,0,4,0
BUENA VISTA,0,4,0
LIMA,0,4,0
HUMAITA,0,4,0
GENERAL DELGADO,0,4,0
YATYTAY,0,4,0
SAN SALVADOR,0,4,0
ALTO VERA,0,4,0
AZOTEY,0,4,0
SAN RAFAEL DEL PARANA,0,4,0
CERRITO,0,4,1
GENERAL BRUGUEZ,0,0,1
YABEBYRY,0,4,0
ZANJA PYTA,0,4,0
VILLALBIN,0,4,0
BAHIA NEGRA,0,4,0
TEMBIAPORA,0,4,0
TAVAPY,0,4,0
LEANDRO OVIEDO,0,4,0
ISLA UMBU,0,4,0
VILLA OLIVA,0,4,0
CARMELO PERALTA,0,4,0
DESMOCHADOS,0,4,0
R I 3 CORRALES,0,4,0
